Model Parameters: 
sigma1 (MPa), sigma2 (MPa), sigma3 (MPa), Pf (MPa), phi, Rprime
100.00, 75.00, 50.00, 60.00, 0.50, 0.20
sigma1 plunge/trend - 37/040
sigma2 plunge/trend - 00/310
sigma3 plunge/trend - 90-4.516031e+01i/040
Model Data: 
plunge (deg), trend (deg), Ts, Td, Sf (MPa), tau (MPa), sigmaN (MPa), OpeningAngle (deg)
82.00, 282.00, 0.989, 0.697, 27.20, 22.78, 65.16, -77.230
63.00, 360.00, 0.717, 0.295, 49.26, 21.60, 85.26, -40.539
58.00, 360.00, 0.637, 0.245, 54.79, 19.76, 87.73, -35.480
76.00, 233.00, 0.889, 0.842, 27.59, 18.19, 57.90, 83.421
52.00, 28.00, 0.387, 0.079, 74.13, 13.14, 96.03, -20.033
85.00, 31.00, 0.972, 0.553, 30.91, 24.86, 72.33, -63.608
34.00, 134.00, 0.538, 0.574, 48.71, 13.56, 71.31, -50.165
74.00, 331.00, 0.930, 0.535, 33.10, 24.10, 73.26, -61.169
20.00, 160.00, 0.529, 0.640, 46.78, 12.73, 67.99, -57.874
16.00, 162.00, 0.545, 0.610, 47.18, 13.40, 69.52, -54.621
80.00, 252.00, 0.962, 0.770, 26.64, 20.91, 61.50, -85.908
82.00, 248.00, 0.977, 0.750, 26.52, 21.59, 62.50, -83.400
82.00, 95.00, 0.968, 0.558, 30.98, 24.67, 72.09, -63.896
6.00, 297.00, 0.233, 0.517, 63.96,  6.11, 74.15, -23.375
74.00, 220.00, 0.839, 0.872, 28.54, 16.73, 56.42, 77.925
77.00, 191.00, 0.924, 0.810, 27.12, 19.43, 59.51, 88.557
3.00, 250.00, 0.779, 0.441, 42.20, 21.46, 77.96, -50.071
